module	imports_lexicon	own_word_list	can_fire_without_word_or_name(y/n)	evidence_line	fields_read(eats)
illusoryInterruptionClaim.py	n	y local _INTERRUPTION_CLAIM_RX	n — requires an "interrupted by user" phrase match in text	illusoryInterruptionClaim.py:39 `_INTERRUPTION_CLAIM_RX` gates the finding	current_event,history,pattern,conn
integritySuppressionFlag.py	y (_INTEG_VOCAB)	y local _TARGET_RX,_FLAG_RX,_ADR_BACKLINK_RX	n — requires a `*_skip`/`*_bypass` flag KEY matching _INTEG vocab	integritySuppressionFlag.py:54 `_FLAG_RX` + `_INTEG_RX` gate the finding	current_event,pattern,conn
namedTestTeeth.py	y (_ANSI_SGR_RX,_TEETH_FRAME_RX,_SENTENCE_SPLIT_RX)	y local _TESTNAME_RX,_PASS_PRED_RX,_NEG_RX,_FORWARD_RX,_REC_FAIL/_PASS_*	n — requires a `test_foo passes` claim regex match against a recorded FAILED of that name	namedTestTeeth.py `_TESTNAME_RX`+`_PASS_PRED_RX` gate the claim extraction	text,history
phantomCitation.py	n	y local _TARGET_RX,_WS_RUN_RX (plus vocab _CITATION_RX/_CITATION_AUTHOR_STOPWORDS used elsewhere)	n — requires the Author-Year citation regex to match	phantomCitation.py keywords=digits 0-9, gated further by citation regex	current_event,pattern,conn
planItemDrift.py	n	unknown — likely uses Plan/commitments structures, not raw words	y (probable) — fires on open plan/task-labeled commitments structure from state, review needed for word gate	eats={"open_plan_items"} — reads structured plan items, not free text scanning	open_plan_items
relativePathCitation.py	n	y local _DIR_QUALIFIED_RX,_BARE_CITATION_RX,_URL_SCHEME_RX,_FENCE_RX	n — requires a citation-shaped relative-path regex match in text	relativePathCitation.py:46-56 citation regexes gate the finding	text
runIntentUnfulfilled.py	y (_RUN_INTENT_CLAIM_RX,_RUN_INTENT_IDIOM_VETO_RX,_NEGATION_RX)	y local _SENTENCE_END_RX,_QUOTED_SPAN_RX	n — requires the forward run-intent phrase regex to match the prior turn's text	runIntentUnfulfilled.py imports _RUN_INTENT_CLAIM_RX as the firing gate	history
selfMuteGuard.py	n	y local _SETTINGS_RX,_DISABLE_ENV_RX,_DISABLE_PATTERNS_RX,_MANAGED_RX,_GLOBAL_DISABLE_RX	n — requires a settings.json/hooks.json path + a disable-shape regex match	selfMuteGuard.py:30-52 target-path + disable-pattern regexes both gate the finding	current_event,pattern
selfWiredCheck.py	n	n	y — fires on structural absence of makoto hook entries in read JSON dicts (dict key presence/absence), no text scan	selfWiredCheck.py `_missing_makoto_events(hooks,...)` inspects dict keys, not prose	fs_read
silentlyDroppedCommitment.py	y (_EMPTY_OK,_FENCE_SPAN_RX)	y local _DROP_NEG_FRAME_RX,_DROP_RX_COUNT,_DROP_RX_LINES,_DROP_RX_SYMBOL,_DROP_RX_ARTIFACT,_DROP_DEF_COUNTER,_DROP_TEST_COUNTER	n — requires _drop_extract_forward_claims(text) to find a promise phrase	silentlyDroppedCommitment.py:53 `_drop_extract_forward_claims` regex-gated	text,touched,fs_exists,fs_size,fs_read,empty
staleEstablisher.py	n	n	y — fires on Plan node graph state (DONE/blocked structure), no word scan of text	staleEstablisher.py:45 `check(plan)` walks `plan.nodes()` structurally	plan
stalePytestCache.py	y (_ADV_FORWARD_RX,_NEGATION_RX,_SENTENCE_SPLIT_RX,_TEETH_FRAME_RX)	n	n — requires an "all tests pass" claim-window match against text before consulting pytest cache	stalePytestCache.py imports claim-window regexes to bound the check	text,cwd
undeclaredFalsifiable.py	n	n	y — fires on registry.scan() orphan-module detection (import success/shape), no word/text match	undeclaredFalsifiable.py:34-52 `orphan_modules`/`orphan_ids` inspect scan() dict	(module-scan only; no GateContext eats declared — registered ONE_OFF)
undischargedCommitment.py	y (Finding + more)	y local _ADV_STEM helpers	n — requires _advance_signal(text) universal-completion phrase match	undischargedCommitment.py:64 `_advance_signal` gates the claim	text,open_commits,touched,fs_exists,empty_keys,fs_size (per module use)
unsourcedWebfetch.py	n	y local _TRUSTED_HOSTS	n — requires a bare URL to be present in the WebFetch tool_input at all	unsourcedWebfetch.py:71-88 `_ends_url`/URL extraction gates evaluation	current_event,history,pattern
verifierBodyHollowed.py	n	y local _TARGET_RX,_VERIFIER_NAME_RX,_BROAD_EXCEPT	n — requires the checks/*.py path regex + hollow-body AST shape together	verifierBodyHollowed.py:45-52 `_TARGET_RX`/`_VERIFIER_NAME_RX` gate which file is even inspected	current_event,pattern,conn
verifierExitMasking.py	n	y local _LEAD_RUNNER_RX,_WRAPPERS,_PYTHON_RX,_GROUP_TOKENS,_CONTROL_TOKENS,_SET_PLUS/MINUS_FLAGS_RX,_STATUS_CAPTURE_RX	n — requires _is_runner_command match (a runner-name regex) before any mask logic runs	verifierExitMasking.py:197-225 `_is_runner_command`/`_LEAD_RUNNER_RX` gate the whole predicate	current_event,pattern
verifierPredicateWeakened.py	n	y local _TARGET_RX,_RE_LOOSE_CHAINS,_METHOD_LOOSE	n — requires the checks/*.py path regex + a loose-comparator method/chain name match	verifierPredicateWeakened.py:43-45 target path + loose-method sets gate the finding	current_event,pattern,conn
writeThrashRevert.py	n	n	y — fires on byte-identical whole-file Write content comparison (ByteIdentity), no word/name match	writeThrashRevert.py:26 `from makoto.substrate.byte_identity import ByteIdentity`; content bytes compared, not prose	current_event,history,pattern
# TOTALS: 35 check modules. imports_lexicon(y/n): y=14, n=21. own_word_list(y/n): y=20, n=15. can_fire_without_any_word_or_name(y/n): y=13, n=22.
