module	imports_lexicon	own_word_list	can_fire_without_word_or_name(y/n)	evidence_line	fields_read(eats)
fabricatedCommitSha.py	y (_QUOTED_RX)	y local _SHA_RX,_NEG_REF_RX,_CLAUSE_BOUNDARY_RX,_GLOBAL_DENIAL_RX,_GIT_COMMIT_OR_TAG_RX	n — requires a claimed SHA pattern match (_claimed_shas) to produce any finding	fabricatedCommitSha.py:282 `_claimed_shas(text)` regex-derived list gates the rest	current_event,history,pattern
fabricatedToolAction.py	y (Finding)	y local _ACTION_RX,_NEG,_FUTURE,_PRIOR_TURN (built from an _ACTION_VERB list)	n — requires the first-person action-verb regex to match text	fabricatedToolAction.py:21 `_ACTION_RX` match gates the claim	text,history
falseGreenClaim.py	n (imports Finding from vocab; the claim signal is substrate.claims.whole_suite_pass_claim, not a vocab lexicon)	n	n — needs _GREEN_CLAIM_RX subject+predicate match against text	falseGreenClaim.py:32-33 `if not whole_suite_pass_claim(text): return None` — the word gate survives the exit-status change at :40	text,testrun_output,testrun_exit
hollowTest.py	y (_MAKOTO_ALLOW_RX,Finding)	n (helper-name sets built dynamically, not static word list)	n — the AST analysis only runs on a `test_*.py`/`*_test.py` file and a `test_*`-named function; that naming convention is a lexical name gate on agent-authored content	hollowTest.py:54-57 `_is_test_filename`, :64-95 `_iter_test_functions` (name.startswith('test_'))	touched,cwd,fs_read
identicalRetryInterdiction.py	n	n	n — byte-identical retry is not enough: the prior result must ALSO classify as deterministic, which is a regex match against the _DETERMINISTIC_MARKERS word list	identicalRetryInterdiction.py:90 `if classify_failure(prior_result_text) is not True: return None`; kit.py:841 marker regexes	current_event,history,pattern
illusoryAuthorshipTrailer.py	n	y local _CLAUDE_AUTHOR_RX	n — requires the authorship-trailer regex to match the about-to-write content	illusoryAuthorshipTrailer.py:46 `_CLAUDE_AUTHOR_RX` gates the finding	current_event,history,pattern,conn
illusoryInterruptionClaim.py	n	y local _INTERRUPTION_CLAIM_RX	n — requires an "interrupted by user" phrase match in text	illusoryInterruptionClaim.py:39 `_INTERRUPTION_CLAIM_RX` gates the finding	current_event,history,pattern,conn
integritySuppressionFlag.py	y (_INTEG_VOCAB)	y local _TARGET_RX,_FLAG_RX,_ADR_BACKLINK_RX	n — requires a `*_skip`/`*_bypass` flag KEY matching _INTEG vocab	integritySuppressionFlag.py:54 `_FLAG_RX` + `_INTEG_RX` gate the finding	current_event,pattern,conn
namedTestTeeth.py	y (_ANSI_SGR_RX,_TEETH_FRAME_RX,_SENTENCE_SPLIT_RX)	y local _TESTNAME_RX,_PASS_PRED_RX,_NEG_RX,_FORWARD_RX,_REC_FAIL/_PASS_*	n — requires a `test_foo passes` claim regex match against a recorded FAILED of that name	namedTestTeeth.py `_TESTNAME_RX`+`_PASS_PRED_RX` gate the claim extraction	text,history
phantomCitation.py	n	y local _TARGET_RX,_WS_RUN_RX (plus vocab _CITATION_RX/_CITATION_AUTHOR_STOPWORDS used elsewhere)	n — requires the Author-Year citation regex to match	phantomCitation.py keywords=digits 0-9, gated further by citation regex	current_event,pattern,conn
planItemDrift.py	n	n (no local list; the label+verb vocabulary lives upstream in state/plan.py)	n — the module matches nothing, but a row can only be in open_plan_items because state/plan.py matched a §/Task label AND a closed forward-verb list over chat prose	state/plan.py:242 _LABEL_RX, :243 _FORWARD_VERB_RX, :306-321 sourcing loop; context.py:188 open_plan_items	open_plan_items
relativePathCitation.py	n	y local _DIR_QUALIFIED_RX,_BARE_CITATION_RX,_URL_SCHEME_RX,_FENCE_RX	n — requires a citation-shaped relative-path regex match in text	relativePathCitation.py:46-56 citation regexes gate the finding	text
runIntentUnfulfilled.py	y (_RUN_INTENT_CLAIM_RX,_RUN_INTENT_IDIOM_VETO_RX,_NEGATION_RX)	y local _SENTENCE_END_RX,_QUOTED_SPAN_RX	n — requires the forward run-intent phrase regex to match the prior turn's text	runIntentUnfulfilled.py imports _RUN_INTENT_CLAIM_RX as the firing gate	history
selfMuteGuard.py	n	y local _SETTINGS_RX,_DISABLE_ENV_RX,_DISABLE_PATTERNS_RX,_MANAGED_RX,_GLOBAL_DISABLE_RX	n — requires a settings.json/hooks.json path + a disable-shape regex match	selfMuteGuard.py:30-52 target-path + disable-pattern regexes both gate the finding	current_event,pattern
selfWiredCheck.py	n	n	y — fires on structural absence of makoto hook entries in read JSON dicts (dict key presence/absence), no text scan	selfWiredCheck.py `_missing_makoto_events(hooks,...)` inspects dict keys, not prose	fs_read
silentlyDroppedCommitment.py	y (_EMPTY_OK,_FENCE_SPAN_RX)	y local _DROP_NEG_FRAME_RX,_DROP_RX_COUNT,_DROP_RX_LINES,_DROP_RX_SYMBOL,_DROP_RX_ARTIFACT,_DROP_DEF_COUNTER,_DROP_TEST_COUNTER	n — requires _drop_extract_forward_claims(text) to find a promise phrase	silentlyDroppedCommitment.py:53 `_drop_extract_forward_claims` regex-gated	text,touched,fs_exists,fs_size,fs_read,empty
staleEstablisher.py	n	n	y — fires on Plan node graph state (DONE/blocked structure), no word scan of text	staleEstablisher.py:45 `check(plan)` walks `plan.nodes()` structurally	plan
stalePytestCache.py	y (_ADV_FORWARD_RX,_NEGATION_RX,_SENTENCE_SPLIT_RX,_TEETH_FRAME_RX)	n	n — requires an "all tests pass" claim-window match against text before consulting pytest cache	stalePytestCache.py imports claim-window regexes to bound the check	text,cwd
undeclaredFalsifiable.py	n	n	y — fires on registry.scan() orphan-module detection (import success/shape), no word/text match	undeclaredFalsifiable.py:34-52 `orphan_modules`/`orphan_ids` inspect scan() dict	(none declared: no eats= on its Check; module-scan only)
undischargedCommitment.py	y (Finding + more)	y local _ADV_STEM helpers	n — requires _advance_signal(text) universal-completion phrase match	undischargedCommitment.py:64 `_advance_signal` gates the claim	text,opens + DISCHARGE_EATS{touched,fs_exists,empty,fs_size} (undischargedCommitment.py:153)
unsourcedWebfetch.py	n	y local _TRUSTED_HOSTS	y — the URL is read from the typed tool_input.url field; firing needs no vocabulary match (_TRUSTED_HOSTS only EXEMPTS), just absence from prior tool_response and transcript	unsourcedWebfetch.py:129-144 `_webfetch_url` (typed field + exempt lists), :201-223 predicate fires on absence	current_event,history,pattern
verifierBodyHollowed.py	n	y local _TARGET_RX,_VERIFIER_NAME_RX,_BROAD_EXCEPT	n — requires the checks/*.py path regex + hollow-body AST shape together	verifierBodyHollowed.py:45-52 `_TARGET_RX`/`_VERIFIER_NAME_RX` gate which file is even inspected	current_event,pattern,conn
verifierExitMasking.py	n	y local _LEAD_RUNNER_RX,_WRAPPERS,_PYTHON_RX,_GROUP_TOKENS,_CONTROL_TOKENS,_SET_PLUS/MINUS_FLAGS_RX,_STATUS_CAPTURE_RX	n — requires _is_runner_command match (a runner-name regex) before any mask logic runs	verifierExitMasking.py:197-225 `_is_runner_command`/`_LEAD_RUNNER_RX` gate the whole predicate	current_event,pattern
verifierPredicateWeakened.py	n	y local _TARGET_RX,_RE_LOOSE_CHAINS,_METHOD_LOOSE	n — requires the checks/*.py path regex + a loose-comparator method/chain name match	verifierPredicateWeakened.py:43-45 target path + loose-method sets gate the finding	current_event,pattern,conn
writeThrashRevert.py	n	n	y — fires on byte-identical whole-file Write content comparison (ByteIdentity), no word/name match	writeThrashRevert.py:26 `from makoto.substrate.byte_identity import ByteIdentity`; content bytes compared, not prose	current_event,history,pattern
# TOTALS (review, re-derived): 35 check modules. imports_lexicon: y=14, n=21. own_word_list: y=21, n=14. can_fire_without_any_word_or_name: y=9, n=26. Criterion: y iff some input makes it fire with NO match of agent-authored content against a lexical vocabulary (prose word list, command/flag name list, file/function naming convention); gating on host-supplied typed fields (hook_event_name, tool_name, exitCode, interrupted) does not count as a lexical match.
