id	kind	source	statement	depends_on
M-COV-041	Definition	proofs/Coverings.v:292-293	Definition backward (t : list Event) : Prop := forall pre e post, t = pre ++ e :: post -> isL e -> exists p, In p pre /\ isX p.	M-COV-035,M-COV-037,M-COV-036
M-COV-042	Theorem	proofs/Coverings.v:303-304	Theorem violation_is_never_backward : forall t, violates t -> ~ backward t.	M-COV-038,M-COV-041
M-COV-043	Corollary	proofs/Coverings.v:316-317	Corollary out_of_order_is_rejected : forall l x, isL l -> isX x -> ~ backward (l :: x :: nil).	M-COV-041,M-COV-042,M-COV-036,M-COV-037
M-COV-044	Definition	proofs/Coverings.v:323-324	Definition forward (t : list Event) : Prop := forall e, In e t -> isX e -> exists q, In q t /\ isL q.	M-COV-035,M-COV-036,M-COV-037
M-COV-045	Corollary	proofs/Coverings.v:326-327	Corollary forward_only_admits_the_violation : forall e, isL e -> (forall p, ~ isX p) -> forward (e :: nil).	M-COV-044,M-COV-037,M-COV-036
M-COV-046	Variable	proofs/Coverings.v:337	Variable done : nat -> Prop. (* done i : step i of the chain has occurred *)	
M-COV-047	Hypothesis	proofs/Coverings.v:340	Hypothesis link : forall i, done (S i) -> done i.	M-COV-046
M-COV-048	Theorem	proofs/Coverings.v:347	Theorem chain_composes : forall j i, i <= j -> done j -> done i.	M-COV-046,M-COV-047
M-CLS-001	Law	proofs/Clauses.v:9	SIDE A01_fingerprint: class=always closure=always	
M-CLS-002	Law	proofs/Clauses.v:10	SIDE A01_discharged_by: class=effect closure=world effects=observed_read	
M-CLS-003	Law	proofs/Clauses.v:11	SIDE A02_fingerprint: class=always closure=always	
M-CLS-004	Law	proofs/Clauses.v:12	SIDE A02_discharged_by: class=composed closure=host	
M-CLS-005	Law	proofs/Clauses.v:13	BRANCH A02_discharged_by_branch0: class=effect closure=world effects=observed_read	
M-CLS-006	Law	proofs/Clauses.v:14	BRANCH A02_discharged_by_branch1: class=tool-enum closure=host	
M-CLS-007	Law	proofs/Clauses.v:15	BRANCH A02_discharged_by_branch2: class=effect closure=world effects=report_paths	
M-CLS-008	Law	proofs/Clauses.v:16	SIDE A03_fingerprint: class=always closure=always	
M-CLS-009	Law	proofs/Clauses.v:17	SIDE A03_discharged_by: class=effect closure=world effects=remote_read	
M-CLS-010	Law	proofs/Clauses.v:18	SIDE C03-verify-what-returns_fingerprint: class=always closure=always	
M-CLS-011	Law	proofs/Clauses.v:19	SIDE C03-verify-what-returns_activated_by: class=tool-enum closure=host	
M-CLS-012	Law	proofs/Clauses.v:20	SIDE C03-verify-what-returns_discharged_by: class=tool-enum closure=host	
M-CLS-013	Law	proofs/Clauses.v:21	SIDE C08-check-can-fail_fingerprint: class=always closure=always	
M-CLS-014	Law	proofs/Clauses.v:22	SIDE C08-check-can-fail_activated_by: class=effect closure=world effects=report_pass	
M-CLS-015	Law	proofs/Clauses.v:23	SIDE C08-check-can-fail_discharged_by: class=effect closure=world effects=report_fail	
M-CLS-016	Law	proofs/Clauses.v:24	SIDE C09-checker-excludes-self_fingerprint: class=effect closure=world effects=report_self	
M-CLS-017	Law	proofs/Clauses.v:25	SIDE C09-checker-excludes-self_discharged_by: class=effect closure=world effects=report_listing	
M-CLS-018	Law	proofs/Clauses.v:26	SIDE D01_fingerprint: class=tool-enum closure=host	
M-CLS-019	Law	proofs/Clauses.v:27	SIDE D01_discharged_by: class=tool-enum closure=host	
M-CLS-020	Law	proofs/Clauses.v:28	SIDE P01_fingerprint: class=tool-enum closure=host	
M-CLS-021	Law	proofs/Clauses.v:29	SIDE P01_discharged_by: class=tool-enum closure=host	
M-CLS-022	Law	proofs/Clauses.v:30	SIDE P02_fingerprint: class=tool-enum closure=host	
M-CLS-023	Law	proofs/Clauses.v:31	SIDE P02_discharged_by: class=tool-enum closure=host	
M-CLS-024	Law	proofs/Clauses.v:32	SIDE T01_fingerprint: class=always closure=always	
M-CLS-025	Law	proofs/Clauses.v:33	SIDE T01_discharged_by: class=effect closure=world effects=observed_read	
M-CLS-026	Law	proofs/Clauses.v:34	SIDE T02_fingerprint: class=always closure=always	
M-CLS-027	Law	proofs/Clauses.v:35	SIDE T02_activated_by: class=effect closure=world effects=remote_ref_moved	
M-CLS-028	Law	proofs/Clauses.v:36	SIDE T02_discharged_by: class=effect closure=world effects=remote_landed	
M-CLS-029	Law	proofs/Clauses.v:37	SIDE U01_fingerprint: class=effect closure=world effects=pids_spawned	
M-CLS-030	Law	proofs/Clauses.v:38	SIDE U01_discharged_by: class=effect closure=world effects=report_pass	
M-CLS-031	Law	proofs/Clauses.v:39	SIDE U02_fingerprint: class=effect closure=world effects=pids_spawned_again	
M-CLS-032	Law	proofs/Clauses.v:40	SIDE U02_discharged_by: class=effect closure=world effects=report_after_change	
M-CLS-033	Law	proofs/Clauses.v:41	SIDE U03_fingerprint: class=effect closure=world effects=pids_gone	
M-CLS-034	Law	proofs/Clauses.v:42	SIDE U03_discharged_by: class=effect closure=world effects=observed_read,report_pids	
M-CLS-035	Law	proofs/Clauses.v:43	SIDE U06_fingerprint: class=effect closure=world effects=net_out	
M-CLS-036	Law	proofs/Clauses.v:44	SIDE U06_discharged_by: class=effect closure=world effects=net_read	
M-CLS-037	Law	proofs/Clauses.v:45	SIDE U08_fingerprint: class=effect closure=world effects=commit_signed	
M-CLS-038	Law	proofs/Clauses.v:46	SIDE U08_discharged_by: class=effect closure=world effects=report_signature	
M-CLS-039	Law	proofs/Clauses.v:47	SIDE U09_fingerprint: class=effect closure=world effects=head_switched	
M-CLS-040	Law	proofs/Clauses.v:48	SIDE U09_discharged_by: class=effect closure=world effects=observed_read,report_ref	
M-CLS-041	Law	proofs/Clauses.v:49	SIDE U10_fingerprint: class=effect closure=world effects=report_null	
M-CLS-042	Law	proofs/Clauses.v:50	SIDE U10_discharged_by: class=composed closure=host	
M-CLS-043	Law	proofs/Clauses.v:51	BRANCH U10_discharged_by_branch0: class=effect closure=world effects=report_structured	
M-CLS-044	Law	proofs/Clauses.v:52	BRANCH U10_discharged_by_branch1: class=tool-enum closure=host	
M-CLS-045	Law	proofs/Clauses.v:53	SIDE U12_fingerprint: class=effect closure=world effects=files_changed	
M-CLS-046	Law	proofs/Clauses.v:54	SIDE U12_discharged_by: class=composed closure=host	
M-CLS-047	Law	proofs/Clauses.v:55	BRANCH U12_discharged_by_branch0: class=tool-enum closure=host	
M-CLS-048	Law	proofs/Clauses.v:56	BRANCH U12_discharged_by_branch1: class=tool-enum closure=host	
M-CLS-049	Law	proofs/Clauses.v:57	BRANCH U12_discharged_by_branch2: class=effect closure=world effects=report_paths	
M-CLS-050	Law	proofs/Clauses.v:58	SIDE U13_fingerprint: class=effect closure=world effects=files_changed	
M-CLS-051	Law	proofs/Clauses.v:59	SIDE U13_discharged_by: class=composed closure=host	
M-CLS-052	Law	proofs/Clauses.v:60	BRANCH U13_discharged_by_branch0: class=tool-enum closure=host	
M-CLS-053	Law	proofs/Clauses.v:61	BRANCH U13_discharged_by_branch1: class=effect closure=world effects=report_paths	
M-CLS-054	Law	proofs/Clauses.v:62	SIDE U19_fingerprint: class=effect closure=world effects=files_changed	
M-CLS-055	Law	proofs/Clauses.v:63	SIDE U19_discharged_by: class=composed closure=host	
M-CLS-056	Law	proofs/Clauses.v:64	BRANCH U19_discharged_by_branch0: class=tool-enum closure=host	
M-CLS-057	Law	proofs/Clauses.v:65	BRANCH U19_discharged_by_branch1: class=tool-enum closure=host	
M-CLS-058	Law	proofs/Clauses.v:66	BRANCH U19_discharged_by_branch2: class=effect closure=world effects=report_paths	
M-CLS-059	Law	proofs/Clauses.v:67	SIDE U20_fingerprint: class=effect closure=world effects=files_removed,head_reset	
M-CLS-060	Law	proofs/Clauses.v:68	SIDE U20_discharged_by: class=effect closure=world effects=report_fail,report_pass	
M-CLS-061	Law	proofs/Clauses.v:69	SIDE U24_fingerprint: class=effect closure=world effects=net_out	
M-CLS-062	Law	proofs/Clauses.v:70	SIDE U24_discharged_by: class=effect closure=world effects=report_nowarn	
M-CLS-063	Law	proofs/Clauses.v:71	SIDE U25_fingerprint: class=effect closure=world effects=report_clean	
M-CLS-064	Law	proofs/Clauses.v:72	SIDE U25_discharged_by: class=effect closure=world effects=report_fail	
M-CLS-065	Inductive	proofs/Clauses.v:74-111	Inductive EffectSide := <37 constructors, one per clause-side instantiating class effect>.	
M-CLS-066	Constructor	proofs/Clauses.v:75-111	A01_discharged_by : EffectSide	M-CLS-065
M-CLS-067	Constructor	proofs/Clauses.v:75-111	A02_discharged_by_branch0 : EffectSide	M-CLS-065
M-CLS-068	Constructor	proofs/Clauses.v:75-111	A02_discharged_by_branch2 : EffectSide	M-CLS-065
M-CLS-069	Constructor	proofs/Clauses.v:75-111	A03_discharged_by : EffectSide	M-CLS-065
M-CLS-070	Constructor	proofs/Clauses.v:75-111	C08_check_can_fail_activated_by : EffectSide	M-CLS-065
M-CLS-071	Constructor	proofs/Clauses.v:75-111	C08_check_can_fail_discharged_by : EffectSide	M-CLS-065
M-CLS-072	Constructor	proofs/Clauses.v:75-111	C09_checker_excludes_self_fingerprint : EffectSide	M-CLS-065
M-CLS-073	Constructor	proofs/Clauses.v:75-111	C09_checker_excludes_self_discharged_by : EffectSide	M-CLS-065
M-CLS-074	Constructor	proofs/Clauses.v:75-111	T01_discharged_by : EffectSide	M-CLS-065
M-CLS-075	Constructor	proofs/Clauses.v:75-111	T02_activated_by : EffectSide	M-CLS-065
M-CLS-076	Constructor	proofs/Clauses.v:75-111	T02_discharged_by : EffectSide	M-CLS-065
M-CLS-077	Constructor	proofs/Clauses.v:75-111	U01_fingerprint : EffectSide	M-CLS-065
M-CLS-078	Constructor	proofs/Clauses.v:75-111	U01_discharged_by : EffectSide	M-CLS-065
M-CLS-079	Constructor	proofs/Clauses.v:75-111	U02_fingerprint : EffectSide	M-CLS-065
M-CLS-080	Constructor	proofs/Clauses.v:75-111	U02_discharged_by : EffectSide	M-CLS-065
M-CLS-081	Constructor	proofs/Clauses.v:75-111	U03_fingerprint : EffectSide	M-CLS-065
M-CLS-082	Constructor	proofs/Clauses.v:75-111	U03_discharged_by : EffectSide	M-CLS-065
M-CLS-083	Constructor	proofs/Clauses.v:75-111	U06_fingerprint : EffectSide	M-CLS-065
M-CLS-084	Constructor	proofs/Clauses.v:75-111	U06_discharged_by : EffectSide	M-CLS-065
M-CLS-085	Constructor	proofs/Clauses.v:75-111	U08_fingerprint : EffectSide	M-CLS-065
M-CLS-086	Constructor	proofs/Clauses.v:75-111	U08_discharged_by : EffectSide	M-CLS-065
M-CLS-087	Constructor	proofs/Clauses.v:75-111	U09_fingerprint : EffectSide	M-CLS-065
M-CLS-088	Constructor	proofs/Clauses.v:75-111	U09_discharged_by : EffectSide	M-CLS-065
M-CLS-089	Constructor	proofs/Clauses.v:75-111	U10_fingerprint : EffectSide	M-CLS-065
M-CLS-090	Constructor	proofs/Clauses.v:75-111	U10_discharged_by_branch0 : EffectSide	M-CLS-065
M-CLS-091	Constructor	proofs/Clauses.v:75-111	U12_fingerprint : EffectSide	M-CLS-065
M-CLS-092	Constructor	proofs/Clauses.v:75-111	U12_discharged_by_branch2 : EffectSide	M-CLS-065
M-CLS-093	Constructor	proofs/Clauses.v:75-111	U13_fingerprint : EffectSide	M-CLS-065
M-CLS-094	Constructor	proofs/Clauses.v:75-111	U13_discharged_by_branch1 : EffectSide	M-CLS-065
M-CLS-095	Constructor	proofs/Clauses.v:75-111	U19_fingerprint : EffectSide	M-CLS-065
M-CLS-096	Constructor	proofs/Clauses.v:75-111	U19_discharged_by_branch2 : EffectSide	M-CLS-065
M-CLS-097	Constructor	proofs/Clauses.v:75-111	U20_fingerprint : EffectSide	M-CLS-065
M-CLS-098	Constructor	proofs/Clauses.v:75-111	U20_discharged_by : EffectSide	M-CLS-065
M-CLS-099	Constructor	proofs/Clauses.v:75-111	U24_fingerprint : EffectSide	M-CLS-065
M-CLS-100	Constructor	proofs/Clauses.v:75-111	U24_discharged_by : EffectSide	M-CLS-065
M-CLS-101	Constructor	proofs/Clauses.v:75-111	U25_fingerprint : EffectSide	M-CLS-065
M-CLS-102	Constructor	proofs/Clauses.v:75-111	U25_discharged_by : EffectSide	M-CLS-065
M-CLS-103	Theorem	proofs/Clauses.v:113-121	Theorem effect_sides_read_the_world_not_the_command : forall (s : EffectSide) (D : Type) (E : D -> Prop) (d d' : D), E d -> ~ E d' -> name_agnostic string (effect string E d) /\ (forall segs, effect string E d segs /\ ~ effect string E d' segs).	M-CLS-065,M-COV-025,M-COV-026
M-LAW-001	Law	plugin/keel/clauses.py:557	CLAUSE-EFFECT-UNKNOWN: a predicate leaf of kind effect names an effect not in _effects.EFFECTS: not an effect the observer measures.	
M-LAW-002	Law	plugin/keel/clauses.py:540-543	CLAUSE-KIND-RETIRED: a predicate of a removed kind (tool, nonzero) is refused by name at any depth on any side. SUPERSEDES the 2026-09-02 statement of this row (CLAUSE-NONZERO-NOT-RESPONSE: a nonzero must read tool_response.*), which admitted a nonzero on tool_response.* -- nonzero had zero shipped uses and was not the Definition positive it stood in for, so the kind was removed and every spelling of it is now refused.	
M-LAW-003	Law	plugin/keel/clauses.py:561-563	CLAUSE-REGEX-INVALID: a regex predicate's pattern must compile as a valid regex. (Amended 2026-09-03: this said 'pattern or unless entries'; the unless exclusion list was removed.)	
M-LAW-004	Law	plugin/keel/clauses.py:564-580	CLAUSE-KEY-FROM-INVALID: a key_from must be a nonempty string, or a dict with a nonempty on and, if present, a compilable pattern and an int-or-string group.	
M-LAW-005	Law	plugin/keel/clauses.py:584-605	CLAUSE-PROBE-INVALID: a probe must declare cmd as a nonempty list of nonempty strings, timeout_ms an int in (0, PROBE_TIMEOUT_CEILING_MS], and a valid expect (empty, nonempty, or {regex: str} that compiles).	
M-LAW-006	Law	plugin/keel/clauses.py:593-600	CLAUSE-PROBE-MUTATING: a probe's argv[0] must carry no path separator and the whole argv must be in _READ_ONLY_PROBES: a path-qualified or non-allowlisted probe is refused, since normalising to the basename let /tmp/evil/git and ./git through.	
M-LAW-007	Law	plugin/keel/clauses.py:670-674	CLAUSE-TEXT-COVERING: a fingerprint/activated_by/discharged_by predicate classified textual reads the raw command as text; by Theorem 1 no pattern edit makes that mention-immune, so it is refused with no exemption to write.	
M-LAW-008	Law	plugin/keel/clauses.py:675-678	CLAUSE-SIDE-UNCLASSIFIED: a predicate whose shape classify_side reports as unclassified is refused: no class in Coverings.v covers this shape.	
M-LAW-009	Law	plugin/keel/clauses.py:684-690	CLAUSE-OCCASION-NOMINAL: an occasion (fingerprint or activated_by) whose class is not in AGNOSTIC_OCCASIONS is refused. (Amended 2026-09-03: the check read AGNOSTIC_CLASSES, all five guard-side classes; it now reads the three README:188-197 licenses -- always, tool-enum, effect -- so a composed occasion is refused where it was admitted.)	
M-LAW-010	Law	plugin/keel/clauses.py:697-701	CLAUSE-GUARD-NOMINAL: a discharged_by predicate not classified in AGNOSTIC_CLASSES names the program that discharges; a guard is a host tool call or an observed effect of the discharging act, never a spelling.	
M-LAW-011	Law	plugin/keel/clauses.py:705-708	CLAUSE-GUARD-ALWAYS: a discharged_by of kind always is paid by any act at all: it observes nothing, so it is refused rather than carried as a covering with nothing to cover.	
M-LAW-012	Law	plugin/keel/clauses.py:709-710	CLAUSE-NO-ACTIVATION-FIXTURES: a clause declaring activated_by must declare fixtures_activate.	
M-LAW-013	Law	plugin/keel/clauses.py:711-714	CLAUSE-ACTIVATION-FIXTURE-MISS: every fixture in fixtures_activate must satisfy the clause's activated_by predicate.	
M-LAW-014	Law	plugin/keel/clauses.py:715-716	CLAUSE-EVENT-UNKNOWN: clause.event must be one of the five events in _EVENTS that may carry enforcement, a strict subset of the eight the dispatcher routes.	
M-LAW-015	Law	plugin/keel/clauses.py:717-718	CLAUSE-NO-FIXTURES: a clause must declare both fixtures_pos and fixtures_neg.	
M-LAW-016	Law	plugin/keel/clauses.py:750-752	CLAUSE-EFFECT-EVENT: a clause whose fingerprint classifies as effect is observed after the act, so it must declare event PostToolUse.	
M-LAW-017	Law	plugin/keel/clauses.py:754-759	CLAUSE-SUBJECT-UNKEYABLE-EFFECT: a subject keyed on an effect datum must name exactly one effect in KEYABLE_EFFECTS, the record carries it as a list, or no demand could ever be raised under it.	
M-LAW-018	Law	plugin/keel/clauses.py:760-762	CLAUSE-FIXTURE-POS-MISS: every fixture in fixtures_pos must satisfy the clause's discriminator predicate (fingerprint, or discharged_by for a terminal clause).	
M-LAW-019	Law	plugin/keel/clauses.py:763-788	CLAUSE-FIXTURE-POS-UNKEYABLE: a positive fixture that matches the fingerprint but whose subject extractor finds no operand in it is refused: the clause would abstain and that occasion would never be denied, even though the fixture list asserts it covers it.	
M-LAW-020	Law	plugin/keel/clauses.py:789-791	CLAUSE-FIXTURE-NEG-HIT: no fixture in fixtures_neg may satisfy the clause's discriminator predicate.	
M-LAW-021	Law	plugin/keel/clauses.py:811-814	CLAUSE-NO-GUARD-FIXTURES: a clause with a discharged_by predicate must declare both fixtures_discharge and fixtures_no_discharge.	
M-LAW-022	Law	plugin/keel/clauses.py:815-818	CLAUSE-GUARD-FIXTURE-MISS: every fixture in fixtures_discharge must satisfy the clause's discharged_by predicate.	
M-LAW-023	Law	plugin/keel/clauses.py:819-822	CLAUSE-GUARD-FIXTURE-HIT: no fixture in fixtures_no_discharge may satisfy the clause's discharged_by predicate.	
M-LAW-024	Law	plugin/keel/clauses.py:847-851	CLAUSE-CARRIES-AN-EXCUSE: a clause data object carrying any field in EXCUSE_FIELDS is refused: those fields state in prose what the proof derives, so they must be deleted.	
M-LAW-025	Law	plugin/keel/clauses.py:856-859	CLAUSE-ID-DUPLICATE: no two clauses in a loaded bundle may share an id.	
M-LAW-026	Law	plugin/keel/clauses.py:868-869	CLAUSE-BUNDLE-INVALID: a loaded clause bundle's top level must be a JSON list.	
M-LAW-027	Law	plugin/keel/effects.py:40	EFFECTS[files_changed]: a file has different content after the act, or exists after it and did not before. Stated limits: a change another process made while the act ran is charged to the act (files carry no per-act lineage); content under gitignored paths, and any path outside the repository root, is not observed	
M-LAW-028	Law	plugin/keel/effects.py:41	EFFECTS[files_removed]: a file that had content before the act has none after it, or does not exist; a top-level gitignored entry that vanished is named too, by path only	
M-LAW-029	Law	plugin/keel/effects.py:42	EFFECTS[head_moved]: HEAD names a different commit after the act	
M-LAW-030	Law	plugin/keel/effects.py:43	EFFECTS[head_switched]: HEAD moved to a commit that already existed before the act: a switch or checkout, not a commit; or the act recorded a checkout in HEAD's reflog and HEAD ended where it began	
M-LAW-031	Law	plugin/keel/effects.py:44	EFFECTS[head_reset]: HEAD moved to an ancestor of where it was, and the worktree changed with it; or the act recorded a reset in HEAD's reflog, whatever it moved back to afterwards	
M-LAW-032	Law	plugin/keel/effects.py:45	EFFECTS[commit_signed]: the act created the commit HEAD now names, and that commit carries a signature	
M-LAW-033	Law	plugin/keel/effects.py:46	EFFECTS[remote_ref_moved]: a remote-tracking ref names a different commit after the act	
M-LAW-034	Law	plugin/keel/effects.py:47	EFFECTS[remote_landed]: every remote head this session moved is equal to a local ref (measured at the remote)	
M-LAW-035	Law	plugin/keel/effects.py:48	EFFECTS[pids_gone]: a process of this session (its tree, or one it launched and orphaned) that was running before the act is not running after it	
M-LAW-036	Law	plugin/keel/effects.py:49	EFFECTS[pids_spawned]: a process that did not exist before the act is still running after it (stated limit: a worker that exited before the act returned was never a process that outlived it, and is not observed), assigned to this session by lineage: in its tree, or in one of its process sessions	
M-LAW-037	Law	plugin/keel/effects.py:50	EFFECTS[pids_spawned_again]: pids_spawned, and this session had already spawned one before	
M-LAW-038	Law	plugin/keel/effects.py:51	EFFECTS[net_out]: the act opened an outbound connection; NOT-EVALUABLE when the host's counter moved while no act of this session was running, because then its movement cannot be assigned to the act	
M-LAW-039	Law	plugin/keel/effects.py:52	EFFECTS[report_null]: the act printed a null datum, or nothing, while reading a structured file	
M-LAW-040	Law	plugin/keel/effects.py:53	EFFECTS[report_pass]: the act printed a test-report datum with no failures	
M-LAW-041	Law	plugin/keel/effects.py:54	EFFECTS[report_clean]: the act printed a scanner-report datum with no findings	
M-LAW-042	Law	plugin/keel/effects.py:55	EFFECTS[report_fail]: the act printed a report datum with failures or findings	
M-LAW-043	Law	plugin/keel/effects.py:58	EFFECTS[report_ref]: an act that changed no file, ref or process printed a ref name or commit id the ref snapshot holds	
M-LAW-044	Law	plugin/keel/effects.py:59	EFFECTS[report_paths]: an act that changed no file, ref or process printed a path the worktree snapshot holds	
M-LAW-045	Law	plugin/keel/effects.py:60	EFFECTS[named_paths]: the worktree paths that report named, in full: what a demand keyed on a changed path is paid by	
M-LAW-046	Law	plugin/keel/effects.py:61	EFFECTS[named_pids]: the live pids that report named: what a demand keyed on a gone pid is paid by	
M-LAW-047	Law	plugin/keel/effects.py:62	EFFECTS[report_pids]: the act printed at least two pids that were alive at the snapshot	
M-LAW-048	Law	plugin/keel/effects.py:63	EFFECTS[report_self]: the act's output contains a whole segment of its own command: a listing that listed itself. The one effect whose datum is read from the command text, not the world: Theorem 8 covers a world-derived datum, so this side is stated, not proven, name-agnostic	
M-LAW-049	Law	plugin/keel/effects.py:64	EFFECTS[report_structured]: the act printed a JSON datum that is not null	
M-LAW-050	Law	plugin/keel/effects.py:65	EFFECTS[report_signature]: the act printed a signature block or a verified-signature datum	
M-LAW-051	Law	plugin/keel/effects.py:66	EFFECTS[report_nowarn]: report_pass, and the report carries no warning line	
M-LAW-052	Law	plugin/keel/effects.py:67	EFFECTS[net_read]: net_out, and the act changed no file, moved no ref, left no process, and reported no failure: a read of the network. Stated limit (K13): the host counter cannot say what was reached, so a quiet connect to a closed port is a read; the trace refuses a mention, not a wasted call	
