lane	status	id	layer	target	severity	claim
foundations	STANDS	B4	fatal	The three rows whose costly column names push, bulk delete a	machine-checked	ASSIGNMENT: give A03 the occasion the vocabulary already holds -- remote_ref_moved where the new tip is not an ancestor-descendant of the old -- and let A01/A02 collapse into the one session-entry rea
foundations	STANDS	B5	fundamental	C08 is a policy over an open-ended set, and its individuator	machine-checked	ASSIGNMENT: run classify_side over `subject` and `key_from` as well, and let the resulting refusal decide whether C08 and U02 are statable at all. No new mechanism -- the classifier and the refusal co
foundations	STANDS	B6	fatal	Creating a file is not in the space at all: the observer dis	machine-checked	SUBTRACTION: stop discarding the A rows in _tree_delta and the after-only keys in _walk_delta -- both functions already hold the data. That yields files_created with no new observation and no new prob
foundations	STANDS	B7	flaw	The count's only defence joins 24 to len(clauses.json); the 	machine-checked	ASSIGNMENT: add README to PAGES in tests/test_fence.py. That single edit turns both live drifts red and makes every future README total joinable.
foundations	STANDS	B8	fundamental	The proof "applied to the table" cannot distinguish any two 	machine-checked	SUBTRACTION: delete the generated Clauses.v and the coverage half of check_coq.py, keeping Coverings.v (16 axiom-free results), which is what carries content. If the instance is kept, derive `present`
foundations	STANDS	B9	fundamental	Only 3 of the 24 rows can deny the act they name before it r	structural	ASSIGNMENT: the mechanism section states, per class, when a demand can be raised -- before the act (3 rows), at the session's first act (3), after the act (14), at the ending (4). One table, no code c
foundations	STANDS	AG-1	fatal	The guard channel is the act's own stdout, so Theorem 7 has 	machine-checked (output-channel half) + exhaustive-finite (trace half); remedy is NOT fail-closed-preserving	SUBTRACTION: delete every guard branch whose leaf effect is computed from stdout (`report_pass`, `report_fail`, `report_clean`, `report_nowarn`, `report_signature`, `report_structured`). Clauses left 
foundations	STANDS	AG-2	fatal	An act that causes the effect and prints the shape in one Ba	structural (mechanism) + exhaustive-finite (measurement); remedy validated by execution	SUBTRACTION: delete the `continue` from the discharge branch in `post_tool_use` so an effect clause's occasion is evaluated on every event regardless of whether the same event also matched its guard. 
foundations	STANDS	AG-3	fatal	`# keel-guard:` is a static one-line header that passes arbi	exhaustive-finite; remedy is NOT standalone — verified to strand the session	SUBTRACTION: delete the commitment path. Host reads (`Read`, `Grep`, `Glob`) are already never refused by an open demand and already pay A01, A02, A03, T01, C03, D01, P01, P02, U10, U12, U13, U19 -- t
foundations	STANDS	AG-5	fundamental	`classify_side` grades the JSON shape, not the observation, 	exhaustive-finite; one sentence overreaches, the substance is confirmed and understated	ASSIGNMENT: move the class from the clause row to `effects.EFFECTS` -- give each entry its channel (`world` / `output` / `command`) beside its sentence, and have `classify_side` read the effect's decl
foundations	STANDS	AG-6	fundamental	Theorem 8 is the identity in both halves, and it is the lice	machine-checked; the count is wrong (36 sides, not 31)	SUBTRACTION: delete `effect_is_name_agnostic` and `effect_separates_same_segments` and the 31 generated instances. The effect sides then carry no theorem, which is their actual status; `render_coverin
foundations	STANDS	AG-7	drag	The report vocabulary is narrower than the program vocabular	exhaustive-finite (reader-verified over the 12 strings); the Keel-suite line is reader-verified, not observed on a green run	None by subtraction that keeps the clause: any output lexicon is a vocabulary and any widening of it widens the bypass equally. If U01/U20/U24/U25/C08 are kept, the honest form of the limit is the one
foundations	STANDS	AG-9	flaw	The guard-side witness fixtures are hand-authored effect rec	exhaustive-finite; two counts corrected, and the finding is broader than claimed	ASSIGNMENT: build the `keel_effect` of any fixture that carries a `tool_input.command` and a `tool_response.stdout` by calling `effects.report_effects` on those two fields, instead of storing it. One 
foundations	STANDS	AG-10	flaw	The trace-cross-checked guards are payable by constant paylo	exhaustive-finite; remedy needs new machinery it says already exists	ASSIGNMENT: key these clauses on the subject the occasion produced -- the paths in `files_changed`, the pid in `pids_gone`, the sha in `head_switched` -- rather than on `session_id`, and require the p
foundations	STANDS	AG-11	flaw	The construction pages the deny messages link name guards th	exhaustive-finite; the remedy's comparison form is under-specified, the generation form works	SUBTRACTION of the stale sentences, plus one ASSIGNMENT: have the fence compare each POINTS.md 'Its guard:' line against the clause's own `guard` field (both are in the repository, one is generated fr
foundations	STANDS	C1	fatal	The refusal prints the exact string that defeats it, with th	machine-checked (observed behaviour); the embedded structural rider is overstated	SUBTRACTION: delete `COMMIT_HINT` (dispatch.py:356-357) so the refusal stops publishing its own key. This is strictly a mitigation, not a fix — the marker still works and the syntax is in the README —
foundations	STANDS	C2	fatal	A fault after the act protects nothing: the record has no re	machine-checked	SUBTRACTION: delete the post-hoc check entirely (dispatch.py:487-500). It changes no decision, and deleting it removes the false claim in README.md:180-185 that something is checked. The protection ha
foundations	STANDS	C3	fatal	The commitment licenses every open demand while committing t	machine-checked	ASSIGNMENT: make the licence per-demand instead of per-call — in `_open_effect_denial`, `continue` past a committed row without touching `progress`, and keep `owed` for every row not named. Then a hea
foundations	STANDS	C4	fundamental	The marker is the textual covering the loader refuses, reloc	machine-checked	ASSIGNMENT: if the marker survives at all, express it as a clause side so the loader and `render_coverings.py` see it — which will refuse it. That refusal is the answer. Otherwise, at minimum, add a t
foundations	STANDS	C5	fatal	For a Bash call, `# keel-guard:` and `# keel-allow:` are the	exhaustive-finite, with the key claim corrected from 'identical' to 'contained, and coincident after the first deny'	SUBTRACTION: delete `GUARD`, `_guard_marker` and both call sites (dispatch.py:78, 81-92, 322, 489). Sessions that genuinely need to proceed keep `keel-allow`, which at least demands a reason and is do
foundations	STANDS	C6	fundamental	The escape hatch is on the one surface that can do harm and 	machine-checked	ASSIGNMENT: make the exemption a property of what the surface can do, not of whether it has a `command` string. `AskUserQuestion` and `ExitPlanMode` change nothing in the world and belong with the hos
foundations	STANDS	C7	flaw	The verification is over clause ids while the ledger keys on	machine-checked	SUBTRACTION (with C2): delete the check. If instead the marker is kept and made per-demand (C3), the header must carry the subject too — `# keel-guard: U10 a.json` — and the check must intersect deman
foundations	STANDS	C8	flaw	`failed_closed: true` on a broken-commitment row is false, i	machine-checked, with 'falsified' softened to 'unreliable at one of five sites'	SUBTRACTION: the row goes away with C2. If it is kept for any reason, `failed_closed=False` is the only true value at that site, since the decision emitted was an allow.
foundations	STANDS	C9	improvement	The design space is exactly three, the marker is in none of 	structural for the derivation and for (S); the (B) half is merely-tested AND FAILING — its own evidence refutes it	SUBTRACTION: remove the pre-act denial for the nine Bash-only-guard clauses (C08, C09, U01, U02, U06, U08, U20, U24, U25) and the entire marker apparatus; report the unlooked-at effect on PostToolUse 
foundations	STANDS	EF-01	fatal	`# keel-guard:` is an unconditional bypass that the refusal 	exhaustive-finite	Subtraction: delete the two lines that generalise `progress`. `_open_effect_denial` should return a deny listing everything owed except the rows the marker names, and `pre_tool_use` must not filter `a
foundations	STANDS	EF-02	fundamental	The fail-closed rule does not hold for U20 -- the only claus	exhaustive-finite (finding) / remedy REFUTED	Subtraction/assignment: move the `_unmeasured` guard out of `_predicate`'s top-level special case and into the `kind == 'effect'` leaf inside `_base_predicate`, so it applies at every depth. One check
foundations	STANDS	EF-03	fundamental	`at_stop` turns 'no measurable network' into a positive 'the	structural	Subtraction: delete the short-circuit. If the repository has a remote, list it at Stop unconditionally; if the listing fails, keep the existing `not_evaluable` path. The cost is one `ls-remote` per en
foundations	STANDS	EF-04	fundamental	The network effect has no lineage at all: one noise source p	structural (mechanism) / merely-tested (the specific 8/8 and 13/13 counts, which did NOT reproduce)	Subtraction: drop `net_out`, `net_read` and the two clauses whose occasion is `net_out` (U06, U24). A host-global counter cannot be made assignable by any edit. If the capability is wanted, the assign
foundations	STANDS	EF-05	flaw	The observer's world is one git tree minus .gitignore, so th	structural	No subtraction removes it -- the observation is defined by the ignore rules. The honest move is assignment of scope: say it on the effect (`files_removed: 'a file that git would have staged ...'`), st
foundations	STANDS	EF-06	flaw	The third disjunct of `assigned_process` is a time test, not	structural	Subtraction: delete `or (bool(alive) and sid not in alive)` from `assigned_process`, leaving tree-membership plus the session's own known sids. The cost is missing a worker that calls setsid inside it
foundations	STANDS	EF-07	flaw	`observed.json` and `remote.json` are one file per user; six	structural	Assignment, one path: write both artifacts into `_slot(state, session, agent)` and have `_artifact_read` resolve against that slot. The slot directory is already created on every snapshot; nothing new
foundations	STANDS	EF-08	drag	The observation window is [PreToolUse, PostToolUse]; anythin	structural (the window boundary) — but the '14 of 24' consequence is REFUTED	None by subtraction -- it is a boundary of the hook contract. State it on `EFFECTS` and in the README limitations, beside the process boundary that is already stated; and, since `pids_spawned` already
foundations	STANDS	EF-09	drag	Report-shape occasions fire on the session's most ordinary c	exhaustive-finite (findings) — but the U10 CONSEQUENCE is REFUTED (it is the opposite defect)	Two subtractions. Drop the bare `\bclean\b` alternative from `REPORT_CLEAN` (the enumerated `0/no/zero <findings|issues|...>` alternatives already carry the shape). Copy the four-line empty-subject ab
foundations	STANDS	EF-10	drag	Cost: 16 git subprocesses and ~0.4 s of hook time per Bash a	merely-tested	Subtraction where it is cheapest: keep the tree object but skip the second `write-tree` when `git status --porcelain` is empty; and cap the ledger by rotating `obligations.jsonl` per session (the rows
foundations	STANDS	EF-11	fundamental	The measurement layer is the one part of the design with no 	machine-checked	Subtraction of the claim, or assignment of the burden. Either stop presenting Theorem 8 as content about effects (it is a definition plus weakening), or state and discharge the missing premise -- that
foundations	STANDS	P1	fatal	Clauses.v states nothing about any clause: 72 theorems are 3	machine-checked	SUBTRACTION: delete proofs/Clauses.v (526 lines), tools/render_coverings.py (148 lines) and the `instance_covers_table` clause of check_coq.py, and keep Coverings.v as what it is -- a design essay abo
foundations	STANDS	P2	fatal	check_coq.py's coverage guarantee is measured in Coq comment	machine-checked mechanism; severity corrected from fatal to flaw	ASSIGNMENT: if the file survives P1's subtraction at all, compute `present` from the parsed `Theorem <id>_<side>_*` names, not from comments, and require `len(declared) >= 1` per side. Two lines. But 
foundations	STANDS	P3	fundamental	The trusted gap is type-level, not merely an absent extracti	machine-checked (typing core) + exhaustive-finite (census); scope sentence overstated	SUBTRACTION on the claim: state in the README that the theory covers command-text coverings only, and that the report_* effect family is an unproved textual covering over the act's own output with a s
foundations	STANDS	P4	fatal	`echo PASS` discharges U20 and U24 through the real dispatch	machine-checked	None that is a subtraction: report_pass/clean/fail/nowarn/signature have no trace to check against, which the README already concedes ("that is the stated bound of a report effect"). The honest move i
foundations	STANDS	P5	fundamental	Three of the 29 effects read `tool_input.command`; C09's occ	exhaustive-finite (source read) + machine-checked (differential)	SUBTRACTION: withdraw C09 from the table, or re-source report_self/report_listing from the process snapshot the observer already takes (`before['alive']`, `before['pids']`) instead of from the command
foundations	STANDS	P6	fundamental	The demand KEY is outside every loader law and every theorem	exhaustive-finite; remedy miscalibrated and its blast radius understated	ASSIGNMENT: extend the loader law to the key -- refuse any `key_from.on` or `subject.on` naming a command field, with the same CLAUSE-*-NOMINAL error and no waiver field. That is ~6 lines in `_admit`.
foundations	STANDS	P7	drag	14 of the theory's 16 results are never referenced by the in	exhaustive-finite	SUBTRACTION: delete the unreachable `topology` and `positive` branches from render_coverings.py, delete Theorem 9 and the forward/backward group from Coverings.v (or move them to a design note), and r
foundations	STANDS	P8	flaw	The "refuses a result proved by the identity" check is one l	machine-checked	SUBTRACTION: delete the IDENTITY check. It is unsound as written and cannot be made sound by more patterns (the property "this statement is convertible to a reflexivity" is a Coq question, not a regex
foundations	STANDS	P9	flaw	check_coq.py's derived grading has one qualifier-shaped hole	machine-checked	ASSIGNMENT: one character -- change `^\s*` to `^\s*(?:(?:Local|Global|Private)\s+|#\[[^\]]*\]\s*)*` in RESULT. Or better, SUBTRACTION: drop the regex approach and grade from `coqc -q` output plus `Pri
foundations	STANDS	P10	drag	Nothing that can go red exercises effects.py's measurement: 	machine-checked; one scope sentence too narrow	ASSIGNMENT: add one corpus session (or one CI step) that runs the real dispatcher against a real temp git worktree with no `keel_effect` supplied -- the harness in scratchpad/foundations/proofs/run2/d
foundations	STANDS	P11	improvement	The real link is a decidable Python invariance test over eff	structural (design claim) with a machine-checked prototype; remedy's cost understated	SUBTRACTION then ASSIGNMENT: delete Clauses.v, render_coverings.py and check_coq's coverage clause (P1, P2); add tests/test_effect_is_world_only.py asserting, for every name in effects.EFFECTS, that t
foundations	STANDS	POSTURE-01	fatal	An agent that has not read Keel's README executes zero shell	machine-checked for the mechanism; the necessity claim is unsupported and the remedy is not fail-closed-preserving	By assignment: Keel already performs the observation itself — session_start() calls effects.observe() and writes observed.json before the first act, and session_start already emits additionalContext. 
foundations	STANDS	POSTURE-02	fatal	Appending the guard's output to the costly command makes the	machine-checked	By subtraction: delete the `continue` on the guard branch, or evaluate the occasion branch first. _watch_standing() already does exactly this for keyed standing clauses and carries a comment explainin
foundations	STANDS	POSTURE-03	fatal	Outside a git repository the session is wedged shut, and the	machine-checked	By subtraction: when _repo_root() is None, no repository-shaped effect is an occasion and no repository-shaped guard is owed — drop A03, U08, U09, U02, T02 for that event instead of treating an unmeas
foundations	STANDS	POSTURE-05	fundamental	The agent is the observer of its own effects: `echo '1 passe	machine-checked	None by subtraction that keeps the clause: this is a stated limit of a report effect. What is missing is that the limit is not carried to the row — mark the six report-only guards in clauses.json and 
foundations	STANDS	POSTURE-06	fundamental	Every session is blocked at Stop, including a session that o	machine-checked for the block; the 50-firings-per-1000 arithmetic is a chosen denominator, not a measurement	By assignment: T02 already carries `activated_by` so that 'a demand that never had its occasion is not an unmet obligation' — reconcile()'s own comment says this was added because 'a read-only session
foundations	STANDS	POSTURE-07	fundamental	The Stop block is one-shot: 'anything still open blocks' is 	machine-checked, and understated	By subtraction of the silence, not of the quarantine: on the stop_hook_active event return _open_not_evaluable(...) instead of `{}`. The quarantine stays (re-blocking cannot discharge anything), but t
foundations	STANDS	POSTURE-08	fundamental	Only Bash is taxed, so the repricing steers mutation onto th	structural, correctly stated; the first branch of the remedy is not the cheap change it is described as	By subtraction of the asymmetry: either add Edit|Write to the PostToolUse matcher and snapshot around them (delta() already works on any pair of moments; nothing about it is Bash-specific), or drop th
foundations	STANDS	POSTURE-09	drag	A connection opened by a neighbouring process buys the sessi	machine-checked, with one overstatement and one unstated aggravation	By subtraction: a channel with no lineage is not evidence about an act. Drop net_out as an occasion rather than treating its unmeasurability as live — the README already concedes that its movement 'ca
