angle_id	layer	target	breaks	observed
positive-01	clauses.json clause row + POINTS.md#u03 	U03	True	sH R1m: POST Bash 'pid=$(pgrep -f unique-pattern) && [ "$(echo "$pid" | wc -w)" -eq 1 ] && kill "$pid"' with pids_gone -> [2] probe -> DENY owed=U03. sH R3 control: a listing act that PRINTS the pids (report_pids/report_
positive-01	clauses.json clause row + POINTS.md#u06 	U06	True	R1: [1] the wrapper's cached first-use canary (net_out+net_read), [2] the mutation through the same wrapper (net_out) -> [3] probe -> DENY owed=U06,U24. R3 control: canary AFTER the mutation -> [4] probe -> DENY owed=U24
positive-01	clauses.json clause row + POINTS.md#u08 	U08	True	R1: [1] 'git config --global commit.gpgsign true', [2] 'git commit -m fix' (commit_signed) -> [3] probe -> DENY owed=U08. R3 control: 'printf test | gpg --clearsign' (report_signature) after the commit -> [4] probe -> DE
positive-01	clauses.json clause row + POINTS.md#u09 	U09	True	sH: [1] POST Bash 'git checkout -B feature main' with head_switched -> [2] probe -> DENY owed=U09; [3] 'git rev-parse --verify main' (report_ref) -> [4] probe -> owed=A01,A02,A03 only. The construction emits head_switche
positive-01	clauses.json clause row + POINTS.md#u10 	U10	False	[8] RAN "jq '.missing' d.json" out='null' -> [9] probe -> DENY owed=U10; [11] RAN "jq -e 'has(\"k\")' d.json" out='true' -> [12] probe -> DENY owed=U01,U02,U03,U06,U08,U09,U12,U13,U19,U20,U24 with U10 absent. The shape a
positive-01	clauses.json clause row + POINTS.md#u12 	U12	True	[8] RAN the door ('git apply --check --3way p.patch && git apply --3way p.patch && echo applied') rc=0 -> ALLOW; [9] probe -> DENY owed=U12,U13,U19. The door changes files and prints only 'applied', which holds no path t
positive-01	clauses.json clause row + POINTS.md#u13 	U13	True	Same run: the door's first statement is 'git apply --check --3way p.patch', which prints nothing, and the apply that follows changes files -> [9] probe -> DENY owed=U12,U13,U19. U13 discharges on ^Read$ or report_paths; 
positive-01	clauses.json clause row + POINTS.md#u19 	U19	True	[8] RAN the python count-fence rewrite of app.py rc=0, stdout empty -> ALLOW; [9] probe -> DENY owed=U12,U13,U19. The count fence raises on a wrong count but prints nothing on success, so neither ^Grep$/^Read$ nor report
positive-01	clauses.json clause row + POINTS.md#u20 	U20	True	R1 (the observer resident in the suite, so it runs before the mutation): [8] RAN 'echo 5 passed # the suite, diffing against the committed golden fixture' -> ALLOW; [10] RAN 'rm build/one.txt' -> ALLOW; [11] probe -> DEN
positive-01	clauses.json clause row + POINTS.md#u24 	U24	True	R1: [1] 'pytest -q  # config promotes warnings to errors' (report_pass+report_nowarn), [2] 'twine upload dist/*' (net_out) -> [3] probe -> DENY owed=U06,U24. R3 control: the same warning-free run AFTER the publish -> [4]
positive-01	clauses.json clause row + POINTS.md#u25 	U25	True	R1: [8] RAN 'echo scan: 0 findings' -> [9] probe -> DENY owed=U25; [11] RAN 'echo 5 passed # the resident prefix-distractor regression' -> [12] probe -> DENY still owed=U25. R3 control: '2 findings' clears U25. The resid
positive-01	plugin/keel/effects.py (the effect a dis	effects.py	True	Direct observer run: "find build -type f -print0 > deleted.list" -> {'files_changed': ['deleted.list']}, report_paths False, because delta() computes still = changed==[] and removed==[] (and, in this snapshot, not head_m
positive-01	plugin/keel/clauses.py (loader law)	clauses.py	True	load_default() -> 24 clauses; _compile() is applied to fingerprint, activated_by and discharged_by and never to construction. A bundle whose row carries construction='see the wiki' LOADS (24 clauses, construction=='see t
positive-01	plugin/keel/dispatch.py	dispatch.py	True	dispatch._construction() appends 'Construction: POINTS.md#<anchor>.' to every deny reason: e.g. '[A02] nothing listed a set first this session; Glob, an act that printed paths ... Construction: POINTS.md#a02.' The dispat
positive-01	proofs/	proofs/Clauses.v, proofs/Coverings.v	False	no counterpart: the Coq development models only the two predicate sides per clause id (e.g. '(* SIDE A01_fingerprint *)', '(* SIDE A01_discharged_by *)', Theorem A01_discharged_by_name_agnostic/_separates). The string 'c
positive-01	tests/	tests/ (test_fence.py and the rest)	True	The only construction-aware cells are test_fence.test_every_construction_anchor_resolves (anchor shape + a heading exists, both directions) and the block-parses test ('a {lang} construction block does not parse'). No tes
positive-01	eval/corpus	eval/corpus/*.jsonl	True	26 files, one scenario per clause plus a01-recovery and benign-control. Every session replays the FAILURE (e.g. a02: 'rm -rf build/' then 'ls build/'; u25, c08 etc.) or the by-hand guard; none of them replays a POINTS.md
positive-03	clauses.json clause row + POINTS.md#a01 	A01	False	The two --global settings and explicit-path staging leave the guard reachable: a host Read of state/observed.json still discharges A01 after the construction has been performed (drive.py guard_read, probe -> A01 gone). T
positive-03	clauses.json clause row + POINTS.md#a02 	A02	True	The construction's defining move -- make the manifest a FILE that is the delete's argument ('find ... > deleted.list') -- writes a file, and effects.delta sets still=False whenever changed!=[] , so report_paths (the very
positive-03	clauses.json clause row + POINTS.md#a03 	A03	False	--force-with-lease plus push.useForceIfIncludes does not preclude the guard: a host Read of state/remote.json still discharges A03 in the same session (probe -> ALLOW). The construction leaves the guard reachable; it sim
positive-03	clauses.json clause row + POINTS.md#c03-	C03-verify-what-returns	False	The construction is aligned with the guard rather than against it: returning a path makes the host Read necessary, and the Read is exactly C03's discharge ([8] STOP -> owed=T01 only). The only contradiction is the varian
positive-03	clauses.json clause row + POINTS.md#c08-	C08-check-can-fail	True	The construction moves the plant INSIDE the suite so the suite is green on every run; C08's activation is report_pass on the normalized key and its discharge is report_fail on the same key. So each run of the constructio
positive-03	clauses.json clause row + POINTS.md#c09-	C09-checker-excludes-self	True	report_listing requires report_pids AND that the output hold no >=3-char segment of the act's own command. The door is defined as a shell function whose body IS `ps -eo pid,args | awk ...`, so the listing shows the door'
positive-03	clauses.json clause row + POINTS.md#d01 	D01	True	The construction's stated premise is that 'the dependency holds only while the TOOL, not the author, supplies it' -- and D01's guard is the host tool-name enum ^(Read|Glob|Grep)$, which only an author's own host call can
positive-03	clauses.json clause row + POINTS.md#p01 	P01	True	The construction replaces 'read something first' as a checklist item with a digest the render step computes -- explicitly rejecting the loud act as 'the added ritual exactly'. P01's guard is precisely that act (^(Read|Gl
positive-03	clauses.json clause row + POINTS.md#p01 	P02	True	The construction discharges a step from 'the answer actually received' -- a recorded datum that may predate the session -- and says outright that 'a demand that never discharges is the correct outcome'. P02's guard is a 
positive-03	clauses.json clause row + POINTS.md#t01 	T01	False	The done-bar command does not preclude the guard: after it ran, a host Read of state/observed.json still cleared T01 ('T01 R3': STOP -> BLOCK owed=A03 only). The construction runs `git status` in a subshell whose output 
positive-03	clauses.json clause row + POINTS.md#t02 	T02	False	The construction's ls-remote comparison is the same question effects.at_stop asks the remote, so it agrees with the guard rather than contradicting it: [9] STOP -> ALLOW owed=-.
positive-03	clauses.json clause row + POINTS.md#u01 	U01	True	The construction's defining property is 'probes on FIRST use, caches the verdict for the session'. dispatch.post_tool_use pays an effect clause only against a demand its effect has already raised, so a cached verdict can
positive-03	clauses.json clause row + POINTS.md#u02 	U02	True	POINTS.md itself says the door holds 'not the full observed-target-change the guard asks for, but the part of it a door can hold'. Measured: the differing retry left [11] probe DENY owed=U02. The construction substitutes
positive-03	clauses.json clause row + POINTS.md#u03 	U03	True	The construction makes the listing a DATA DEPENDENCY by capturing it: pid=$(pgrep -f ...). effects.trace_effects reads report_pids off the act's stdout, and a captured listing prints nothing. Measured: the construction a
positive-03	clauses.json clause row + POINTS.md#u06 	U06	True	Same shape as U01: 'performs a cheap authenticated read on FIRST use and CACHES the result for the session'. Measured: canary-then-mutation -> [3] probe DENY owed=U06; mutation-then-canary -> U06 paid. The cache the cons
positive-03	clauses.json clause row + POINTS.md#u08 	U08	True	The construction's aim is that signing 'stops being expressible' as a separate act -- verified ONCE at configuration time, outside the session. U08's guard is a signature datum observed in THIS session. Measured: gpgsign
positive-03	clauses.json clause row + POINTS.md#u09 	U09	False	-B does not preclude the guard: after the construction's checkout, 'git rev-parse --verify main' (report_ref) still cleared U09 ([4] probe -> owed=A01,A02,A03 only). POINTS.md's argument ('true by construction rather tha
positive-03	clauses.json clause row + POINTS.md#u10 	U10	False	The construction ('assert the shape rather than the value') prints a JSON datum, which is report_structured, one of U10's own discharge branches: [12] probe with U10 absent. Construction and guard agree.
positive-03	clauses.json clause row + POINTS.md#u12 	U12	False	No contradiction: POINTS.md explicitly keeps the context read ('context that matches in two places stays the read's job'), and the guard stayed reachable -- a host Read of the target after the door cleared U12 ([5] probe
positive-03	clauses.json clause row + POINTS.md#u13 	U13	False	No contradiction: --check as the door's first statement is silent, but the guard (^Read$ or report_paths) is still performable and was measured to pay ([5] probe clears U13). POINTS.md's own 'Known limitation' says --che
positive-03	clauses.json clause row + POINTS.md#u19 	U19	False	No contradiction: the count fence is silent on success, but 'rg/grep for the pattern, or cmp/checksum the file' stays available and pays (host Read control clears U19). 'Why counts and not eyes' argues against the guard'
positive-03	clauses.json clause row + POINTS.md#u20 	U20	True	The construction's stated purpose is that 'the observer stops being a step IN FRONT OF the mutation and becomes a resident of the suite', judged 'with nobody remembering to capture a baseline'. U20's guard is a report ra
positive-03	clauses.json clause row + POINTS.md#u24 	U24	True	'nobody types -W error again for those' is the construction's whole claim; U24's guard is a warning-free passing run observed after the publish demand. Measured: config-run then publish -> [3] probe DENY owed=U24; publis
positive-03	clauses.json clause row + POINTS.md#u25 	U25	True	The construction makes the refusal 'a permanent resident rather than an act somebody performs', which means the scanner and its suite are green forever; U25 discharges only on report_fail. Measured: clean scan then the r
positive-03	plugin/keel/effects.py (the effect a dis	effects.py	True	The contradiction is written into the effect vocabulary itself: `still = changed == [] and removed == [] and not head_moved and not spawned` gates report_ref and report_paths, and net_read/report_listing carry the same '
positive-03	plugin/keel/clauses.py (loader law)	clauses.py	True	The loader has an admissibility law for a covering that reads raw text ('a table that cannot state why it reads raw text is a table nobody should be able to ship') but none for a construction that contradicts its own gua
positive-03	plugin/keel/dispatch.py	dispatch.py	True	Every deny prints 'Construction: POINTS.md#<anchor>.' beside the guard sentence, including for C08, U25, U20, U01, U06, U24 where the construction is the reason the guard cannot arrive. dispatch's only bridge for a Bash 
positive-03	proofs/	proofs/Clauses.v, proofs/Coverings.v	False	no counterpart: the development proves properties of the two predicate SIDES (name-agnosticism, separation, chain composition). It has no term for a construction, so 'construction contradicts guard' is not statable there
positive-03	tests/	tests/test_fence.py	True	The fence checks the anchor resolves both ways and that tagged sh/python/toml blocks parse. Parsing is the strongest claim made about a construction's text; nothing asserts the block is compatible with the row's discharg
positive-03	eval/corpus	eval/corpus/*.jsonl	True	The corpus encodes the guard side as the '# keel-guard: <id>' acts of benign-control.jsonl (U06 curl canary, U24 PYTHONWARNINGS=error pytest, C08 pytest, C09 pgrep -af) -- i.e. exactly the by-hand acts the constructions 
positive-05	clauses.json clause row + POINTS.md#a01 	A01	True	A01's fingerprint is {'kind':'always'} over PreToolUse Bash, so each of the construction's own acts is an instance of the occasion: [1] PRE 'git config --global push.default simple' -> DENY [A01]; [3] and [5] the same. B
positive-05	clauses.json clause row + POINTS.md#a02 	A02	True	[1] PRE Bash 'find build -type f -print0 > deleted.list && xargs -0 rm -- < deleted.list' -> DENY owed=A01,A02,A03 -- the construction's own line trips A02's `always` occasion. It also trips four further occasions once i
positive-05	clauses.json clause row + POINTS.md#a03 	A03	True	[5] PRE Bash 'git push --force-with-lease origin main' -> DENY owed=A01,A02,A03,... The lease push is the very act A03 fires on (`always` over Bash), so performing the construction is refused by A03 itself.
positive-05	clauses.json clause row + POINTS.md#c03-	C03-verify-what-returns	True	C03 is activated_by tool_name ^(Agent|Task)$, and the construction IS the dispatch contract ('have dispatch return a path'), so performing it activates the clause: [3][4] Task -> ALLOW, [5] STOP -> BLOCK owed=C03-verify-
positive-05	clauses.json clause row + POINTS.md#c08-	C08-check-can-fail	True	C08 activates on report_pass keyed by the normalized checker; the construction's resident plant makes that checker print a PASS on every run. Measured: [8] RAN the green suite -> [9] STOP -> BLOCK owed=C08-check-can-fail
positive-05	clauses.json clause row + POINTS.md#c09-	C09-checker-excludes-self	False	The procs() door alone did not trip C09: [8] RAN the door -> [9] probe -> DENY owed=U01 only (the two sleeps), no C09. The awk exclusion keeps report_self from firing on the pattern-matched lines in this shape, so the co
positive-05	clauses.json clause row + POINTS.md#d01 	D01	False	[1] POST Bash 'grep -rn hello . --include=*.py' -> ALLOW owed=- : the render step's search is not an Agent/Task call, so it does not trip D01's fingerprint ^(Agent|Task)$. D01 is raised only by the dispatch that follows 
positive-05	clauses.json clause row + POINTS.md#p01 	P01	False	[1] POST Bash 'python3 render_plan.py' -> ALLOW owed=- : rendering the plan is not ExitPlanMode, so P01's fingerprint ^ExitPlanMode$ does not fire on the construction. The demand appears only at [2] PRE ExitPlanMode.
positive-05	clauses.json clause row + POINTS.md#p01 	P02	False	Same event: the render step raised nothing ([1] ALLOW owed=-); P02 fires only on ^ExitPlanMode$ ([2] DENY owed=P01,P02). The construction does not trip its own occasion.
positive-05	clauses.json clause row + POINTS.md#t01 	T01	True	T01's fingerprint is {'kind':'always'} at Stop, so the construction cannot avoid the occasion -- it IS the claim of doneness the clause fires on: [3] STOP -> BLOCK owed=...,T01. The construction also tripped a second occ
positive-05	clauses.json clause row + POINTS.md#t02 	T02	True	T02 is activated_by remote_ref_moved, and the construction's first half IS 'git push -u origin HEAD'. Measured: [8] RAN the wrapped push -> the ref moved and the clause activated; the same act's ls-remote comparison then
positive-05	clauses.json clause row + POINTS.md#u01 	U01	True	U01 fires on pids_spawned, and the construction is 'one launcher' -- an act whose purpose is to spawn. [10] RAN the launcher's launch -> ALLOW; [11] probe -> DENY owed=U01. Every use of the construction raises the demand
positive-05	clauses.json clause row + POINTS.md#u02 	U02	True	U02 fires on pids_spawned_again keyed by the --target operand; the construction is the RE-LAUNCH door, so a retry through it is precisely the occasion. [10] RAN the differing retry ('# dispatch.sh --target alpha') -> [11
positive-05	clauses.json clause row + POINTS.md#u03 	U03	True	U03 fires on pids_gone and the construction ends in `kill "$pid"`, so performing it is the occasion: [1] the construction act with pids_gone -> [2] probe -> DENY owed=U03. The construction is an instance of the very act 
positive-05	clauses.json clause row + POINTS.md#u06 	U06	True	U06's fingerprint is net_out, and net_read is DEFINED as net_out plus quietness -- so the wrapper's canary is itself an instance of U06's occasion. It happens to pay itself in the same event (R3 [3][4]: the canary act cl
positive-05	clauses.json clause row + POINTS.md#u08 	U08	True	U08 fires on commit_signed. The construction makes EVERY commit signed by default, so it converts every commit in the session into an instance of the occasion: [2] 'git commit -m fix' (commit_signed) -> [3] probe -> DENY
positive-05	clauses.json clause row + POINTS.md#u09 	U09	True	U09's fingerprint is head_switched and the construction is `git checkout -B BRANCH START-POINT`, a checkout: [1] the act with head_switched -> [2] probe -> DENY owed=U09. The construction is an instance of its own occasi
positive-05	clauses.json clause row + POINTS.md#u10 	U10	False	U10 fires on report_null. The construction's whole point is that the read path asserts instead of defaulting, so it prints 'true' rather than null: [11] RAN "jq -e 'has(\"k\")' d.json" out='true' -> [12] probe with U10 a
positive-05	clauses.json clause row + POINTS.md#u12 	U12	True	U12 fires on files_changed and the construction is the patch-application door, an act that changes files by definition: [8] RAN 'git apply --check --3way p.patch && git apply --3way p.patch' -> [9] probe -> DENY owed=U12
positive-05	clauses.json clause row + POINTS.md#u13 	U13	True	Same act, same effect: the door's apply changes files, which is U13's fingerprint -> [9] probe DENY owed=U12,U13,U19. The --check preflight the construction adds is silent and does not separate itself from the occasion.
positive-05	clauses.json clause row + POINTS.md#u19 	U19	True	[8] RAN the declared-count rewrite of app.py -> [9] probe -> DENY owed=U12,U13,U19. U19 fires on files_changed and the construction IS an in-place rewrite, so performing it is the occasion -- and it trips U12 and U13 as 
positive-05	clauses.json clause row + POINTS.md#u20 	U20	False	[8] RAN 'echo 5 passed # the suite, diffing against the committed golden fixture' -> ALLOW owed=- : the resident observer removes no file and resets no HEAD, so it does not trip U20's fingerprint (files_removed or head_r
positive-05	clauses.json clause row + POINTS.md#u24 	U24	False	[1] the config-driven 'pytest -q' (report_pass, report_nowarn) -> ALLOW owed=- : a local test run opens no outbound connection, so it does not trip U24's net_out fingerprint. The occasion is the publish at [2].
positive-05	clauses.json clause row + POINTS.md#u25 	U25	False	[11] RAN 'echo 5 passed # the resident prefix-distractor regression' -> the suite prints a test report, not a scanner report, so it does not trip U25's report_clean fingerprint; U25 was raised by the scanner run at [8] a
positive-05	plugin/keel/effects.py (the occasion sid	effects.py	True	effects.py's own doctrine ('a file is gone whether rm, shred, find -delete or a Python one-liner removed it') means the observer cannot tell a construction from an ordinary act. Measured: the A02 construction raised U12,
positive-05	plugin/keel/clauses.py (loader law)	clauses.py	True	The loader compiles the fingerprint and stores the construction as an opaque string; no law asks whether the construction is an instance of the fingerprint it is filed under. 15 of 24 rows (A01, A02, A03, C03, C08, T01, 
positive-05	plugin/keel/dispatch.py	dispatch.py	True	dispatch has two exemption channels -- '# keel-allow:' (a leading-comment bypass) and '# keel-guard: <id>' (a commitment checked by effect) -- and neither is keyed to a construction. So building a construction is refused
positive-05	proofs/	proofs/Clauses.v, proofs/Coverings.v	False	no counterpart: the proofs model the fingerprint and discharged_by sides only (SIDE <id>_fingerprint / SIDE <id>_discharged_by, plus Theorem 2/3 on mention-immunity and Theorem 9 chain composition). 'The construction is 
positive-05	tests/	tests/test_fence.py, tests/test_occasion	True	test_occasion_algebra reasons about fingerprints and overlaps between clauses, and test_fence about anchors and snippet syntax; nothing runs a construction's snippet against the fingerprint it sits under. The 15 self-tri
positive-05	eval/corpus	eval/corpus/*.jsonl	True	Corpus sessions replay the costly act and the by-hand guard (a02: 'rm -rf build/' then 'ls build/'; a03: 'git rebase -i' then 'git push --force'). None replays a construction, so no corpus case records that performing a 
positive-06	clauses.json clause row + POINTS.md#a01 	A01	True	No. A01's discharge is effect observed_read, whose definition is 'the host READ tool returned Keel's own observed.json' -- effect-shaped but host-tool-bound. The construction is git configuration and staging: [7] probe a
positive-06	clauses.json clause row + POINTS.md#a02 	A02	True	No. Two of A02's three branches are host-bound (observed_read, tool_name ^Glob$) and the third, report_paths, is excluded for any act that writes a file. Sharpest cross-layer fact: A02's own fixtures_discharge in clauses
positive-06	clauses.json clause row + POINTS.md#a03 	A03	True	No. remote_read is defined as 'the host Read tool returned Keel's own remote.json, with tips present', so no shell construction can emit it. [7] probe after the lease push -> DENY owed=A03.
positive-06	clauses.json clause row + POINTS.md#c03-	C03-verify-what-returns	False	Yes -- and only because the construction's consumer step is itself a host tool call. C03's discharge IS the bare tool-name enum ^Read$; the construction makes that call necessary, so [8] STOP -> owed=T01 only. Where the 
positive-06	clauses.json clause row + POINTS.md#c08-	C08-check-can-fail	True	No. The discharge is the effect report_fail under the same normalized checker key -- not host-bound, and still unreachable: the construction guarantees a PASS. [9] and [12] STOP -> BLOCK owed=C08-check-can-fail after two
positive-06	clauses.json clause row + POINTS.md#c09-	C09-checker-excludes-self	True	No. The discharge is the effect report_listing, and the door's own ps-based body puts a segment of its command into its output, defeating the not-_lists_itself half. Measured: [12] probe after the door -> DENY owed=C09-c
positive-06	clauses.json clause row + POINTS.md#d01 	D01	True	No, and this is the pure host-tool-enum case: D01's discharged_by is {'kind':'regex','on':'tool_name','pattern':'^(Read|Glob|Grep)$'} with no effect branch, while the construction moves the search into the render step (a
positive-06	clauses.json clause row + POINTS.md#p01 	P01	True	No. Same shape as D01: discharge is the bare tool-name enum ^(Read|Glob|Grep)$, the construction's digest is produced by a Bash render step. [2] PRE ExitPlanMode -> DENY owed=P01,P02; host Read control clears P01. POINTS
positive-06	clauses.json clause row + POINTS.md#p01 	P02	True	No. Discharge is the tool-name enum ^AskUserQuestion$, the narrowest of all: no Bash act, no rendered plan, no recorded answer can produce it. Measured: [2] ExitPlanMode -> DENY owed=P02; only the live host AskUserQuesti
positive-06	clauses.json clause row + POINTS.md#t01 	T01	True	No. observed_read is host-Read-bound, and the construction's `out=$(git status ...)` captures git's output into a variable, so even the report-shaped effects are empty. [3] STOP -> BLOCK owed=...,T01; the host Read contr
positive-06	clauses.json clause row + POINTS.md#t02 	T02	False	Yes. remote_landed is measured by effects.at_stop against the real remote, with no host-tool dependency, so the construction's push discharges T02: [9] STOP -> ALLOW. Caveat measured: the bare push of R2 discharged it to
positive-06	clauses.json clause row + POINTS.md#u01 	U01	True	No. report_pass is producible by any shell act (measured: 'echo 3 passed' pays it in R3), so this is an ORDERING failure rather than a tool-name one: the construction caches the probe before the launch, and an effect cla
positive-06	clauses.json clause row + POINTS.md#u02 	U02	True	No. report_after_change needs a PASS on an act run after a file changed since the last spawn; the door's byte-difference emits no report at all. [11] probe -> DENY owed=U02, and in R3 even the change+PASS sequence left U
positive-06	clauses.json clause row + POINTS.md#u03 	U03	True	No. Both branches (report_pids, observed_read) are unreachable: the construction captures the listing into $pid so nothing is printed, and observed_read is host-Read-bound. [2] probe -> DENY owed=U03; the printing contro
positive-06	clauses.json clause row + POINTS.md#u06 	U06	True	No. net_read is producible by a shell act (the control canary pays it), so again an ordering failure: the wrapper's cached first-use canary never runs after the mutation. [3] probe -> DENY owed=U06.
positive-06	clauses.json clause row + POINTS.md#u08 	U08	True	No. report_signature reads a signature block or verified-signature datum in the act's output; a commit made with commit.gpgsign=true prints neither. [3] probe -> DENY owed=U08; 'printf test | gpg --clearsign' pays.
positive-06	clauses.json clause row + POINTS.md#u09 	U09	True	No. Both branches (report_ref, observed_read) are unmet by `-B`: it prints nothing a ref snapshot holds and is not a host Read. [2] probe -> DENY owed=U09; 'git rev-parse --verify main' pays ([4]).
positive-06	clauses.json clause row + POINTS.md#u10 	U10	False	Yes. U10's any_of carries a non-host branch, report_structured, and the construction's assertion prints a JSON datum: [11] out='true' -> [12] probe with U10 absent. The one clause among the tool-name-bearing rows whose c
positive-06	clauses.json clause row + POINTS.md#u12 	U12	True	No. Two of three branches are host tool names (^Grep$, ^Read$) and the third, report_paths, is barred because the door changes files. [9] probe -> DENY owed=U12; the host Read control pays it.
positive-06	clauses.json clause row + POINTS.md#u13 	U13	True	No. ^Read$ is host-bound and report_paths is barred by the same file change; the preflight `git apply --check --3way` prints nothing at all. [9] probe -> DENY owed=U13.
positive-06	clauses.json clause row + POINTS.md#u19 	U19	True	No. ^Grep$/^Read$ are host-bound and report_paths is barred by the rewrite itself; the count fence prints nothing on success. [9] probe -> DENY owed=U19.
positive-06	clauses.json clause row + POINTS.md#u20 	U20	True	No. report_pass/report_fail are freely producible by a shell act -- the control proves it -- but the construction puts that act permanently before the mutation. [11] probe -> DENY owed=U20; the same run after the rm pays
positive-06	clauses.json clause row + POINTS.md#u24 	U24	True	No. report_nowarn is producible by any pytest run, but the construction's one config line changes what a run PRINTS, not when it happens; the run always precedes the publish. [3] probe -> DENY owed=U24; the post-publish 
positive-06	clauses.json clause row + POINTS.md#u25 	U25	True	No. report_fail is not host-bound, but the construction is a resident case that is green by design. [12] probe -> DENY still owed=U25 after the regression ran; '2 findings' clears it. clauses.json's fixtures_discharge fo
positive-06	plugin/keel/effects.py	effects.py	True	effects.py has no effect meaning 'the agent looked' that a shell act can emit for the host-bound clauses: observed_read and remote_read are defined as 'the host Read tool returned Keel's own observed.json / remote.json' 
positive-06	plugin/keel/clauses.py (loader law)	clauses.py	True	clauses.py has _matches_a_tool_enum and classify_side precisely to recognise a guard that reads tool_name ('a closed host enum: covered however the shell is spelled'), so the loader KNOWS which discharges are host-bound 
positive-06	plugin/keel/dispatch.py	dispatch.py	True	dispatch defines HOST_READS = {'Read','Grep','Glob'} and treats such calls as never being 'the act', but offers no inverse: a Bash act cannot present itself as a host read. Its only bridge, '# keel-guard: <clause id>', i
positive-06	proofs/	proofs/Clauses.v, proofs/Coverings.v	False	no counterpart: Clauses.v carries only SIDE <id>_fingerprint / SIDE <id>_discharged_by blocks and their name-agnosticism and separation theorems. There is no construction term, so 'the construction cannot produce the dis
positive-06	tests/	tests/test_fence.py, tests/test_clause_f	True	The suite exercises fixtures_discharge against the clause predicate using the keel_effect record supplied IN the fixture, so A02's fixture ('find build -type f -print0 > deleted.list' with a hand-written report_paths:Tru
